username,full_text,cleaned_text
pencerahnkri,@5teV3n_Pe9eL @tempodotco Pinjaman kan bisa dihandel pinjol mungkin Nadiem punya perusahaan PINJOL,"['pinjam', 'kan', 'dihandel', 'pinjam', 'online', 'mungkin', 'punya', 'usaha', 'pinjam', 'online']"
HSobat37667,@5teV3n_Pe9eL Buat apa buat pendataan buat pinjol buat pemerintah?,"['buat', 'apa', 'buat', 'data', 'buat', 'pinjam', 'online', 'buat', 'perintah']"
ray440117152752,@5teV3n_Pe9eL Gak khawatir ntar KTPnya dipake buat pinjol?,"['enggak', 'khawatir', 'entar', 'ktpnya', 'pakai', 'buat', 'pinjam', 'online']"
JoniRebon,@5teV3n_Pe9eL Kayak orang kejerat pinjol njir,"['kayak', 'orang', 'jerat', 'pinjam', 'online', 'anjir']"
fathullahfathu2,@5teV3n_Pe9eL Mirip pinjol denda bertingkat...udahlah pinjol nyusahin malah di tambah susah dari apk pemerintah.. Pemer maunya apa sih ,"['mirip', 'pinjam', 'online', 'denda', 'tingkat', 'sudah', 'pinjam', 'online', 'susah', 'malah', 'tambah', 'susah', 'perintah', 'per', 'mau', 'apa', 'sih']"
kris_satriya,@5teV3n_Pe9eL Petani harga tinggi ya g dapet kok d makan tengkulak pinjol pupuk. Mending jd negara konsumen aja brarti ya produksi sendiri tp harga g bisa bagus. Kalau jd negara konsumen pemerintah jd mikir gmn caranya harga miring ya.,"['tani', 'harga', 'tinggi', 'enggak', 'kok', 'makan', 'tengkulak', 'pinjam', 'online', 'pupuk', 'mending', 'jadi', 'negara', 'konsumen', 'arti', 'produksi', 'sendiri', 'harga', 'enggak', 'bagus', 'kalau', 'jadi', 'negara', 'konsumen', 'perintah', 'jadi', 'mikir', 'bagaimana', 'cara', 'harga', 'miring']"
tzuachan,@7shotlatte Jadi mau pinjol dong??,"['jadi', 'mau', 'pinjam', 'online', 'dong']"
Aria_Consultant,@aabians0711 @Miduk17 Nah ini pegi setiawan yg telinganya bolong piercing itu egi ripra (egi ryan prayoga). Pegi setiawan ini mukanya mirip mirip sama seseorang yg penting ya.,"['nah', 'pegi', 'setiawan', 'telinga', 'bolong', 'piercing', 'egi', 'ripra', 'egi', 'ryan', 'prayoga', 'pegi', 'setiawan', 'muka', 'mirip', 'mirip', 'sama', 'orang', 'penting']"
TheDarshanians,@aaerichannn @thueningckai mangafin ntar ak nyari pinjol dlu iyah,"['maaf', 'entar', 'aku', 'cari', 'pinjam', 'online', 'dulu', 'iya']"
mongosilakan,@abcd_emmy @pppkguru Saya mengalami sendiri (sementara masih paylater) keadaan yang memaksa dan mungkin mudahnya akses pinjol jadi ketergantungan. Tiap bulan gali lobang tutup lubang.,"['alami', 'sendiri', 'masih', 'bayar', 'ada', 'paksa', 'mungkin', 'mudah', 'akses', 'pinjam', 'online', 'jadi', 'gantung', 'tiap', 'bulan', 'gali', 'lubang', 'tutup', 'lubang']"
MoodTheStudent,@abcdfakdeh AkuLaku pinjol Al kan pasaran. Bisa Alya ,"['pinjam', 'online', 'kan', 'pasar']"
sahd20720,@AbdulRachimmks banyak pioneer pi di Indonesia sebagai bagian dari komunitas di 230 negara lihat starlink akan meratakan jaringan internet sehingga pembayaran melalui barcode akan merata sampai pelosok saat itu rakyat gk perlu pinjol atau pinjaman bank lagi,"['banyak', 'pelopor', 'bagi', 'komunitas', 'di', 'negara', 'lihat', 'rata', 'jaring', 'internet', 'bayar', 'lalu', 'barcode', 'rata', 'pelosok', 'itu', 'rakyat', 'enggak', 'perlu', 'pinjam', 'online', 'pinjam', 'bank']"
